船舶类型_标准化,平均速度(kts),重油IFO(mt)_mean,重油IFO(mt)_std,重油IFO(mt)_count,船舶载重(t)_mean,载重状态系数_mean,综合效率指标_mean
Bulk Carrier,0.0,9.08,10.1,11,123055.0,0.89,0.0
Bulk Carrier,5.0,17.39,10.14,6,67566.33,0.98,0.49
Bulk Carrier,5.5,22.76,9.87,11,76925.73,1.0,0.55
Bulk Carrier,5.67,23.39,3.58,5,51881.0,0.97,0.55
Bulk Carrier,5.83,16.78,6.51,6,60973.77,0.98,0.57
Bulk Carrier,5.96,22.87,3.31,8,62145.38,0.98,0.58
Bulk Carrier,6.0,23.34,3.17,9,69335.67,0.98,0.59
Bulk Carrier,6.13,24.61,2.32,5,76085.0,1.0,0.61
Bulk Carrier,6.17,20.26,10.26,8,69896.0,0.98,0.61
Bulk Carrier,6.21,16.25,10.23,5,54754.2,0.97,0.6
Bulk Carrier,6.25,24.4,3.32,7,69882.14,0.96,0.6
Bulk Carrier,6.29,20.06,5.64,7,51668.71,0.96,0.6
Bulk Carrier,6.42,15.84,9.2,5,51073.6,1.0,0.64
Bulk Carrier,6.46,24.05,3.82,5,73483.4,1.0,0.65
Bulk Carrier,6.5,24.02,6.35,10,65616.5,1.0,0.65
Bulk Carrier,6.54,23.51,0.9,8,69907.25,1.0,0.65
Bulk Carrier,6.58,18.42,10.08,11,70875.18,1.0,0.66
Bulk Carrier,6.6,12.48,7.83,6,32194.17,1.0,0.66
Bulk Carrier,6.67,21.66,3.73,5,66528.0,1.0,0.67
Bulk Carrier,6.7,13.62,7.85,7,54819.71,0.96,0.64
Bulk Carrier,6.71,18.0,10.96,10,65523.6,0.97,0.65
Bulk Carrier,6.75,15.73,8.73,9,53823.56,0.97,0.65
Bulk Carrier,6.8,19.3,5.17,9,48134.11,1.0,0.68
Bulk Carrier,6.83,19.58,7.98,10,58164.3,0.97,0.66
Bulk Carrier,6.88,18.78,8.01,8,63957.75,0.96,0.66
Bulk Carrier,6.9,22.33,14.39,8,89512.38,0.94,0.65
Bulk Carrier,6.92,21.81,4.01,8,60489.38,1.0,0.69
Bulk Carrier,7.0,16.2,9.88,12,60270.33,0.99,0.69
Bulk Carrier,7.04,24.37,4.22,12,68914.42,0.99,0.7
Bulk Carrier,7.08,23.03,4.46,12,63378.5,0.99,0.7
Bulk Carrier,7.1,20.76,7.06,12,52029.17,0.99,0.7
Bulk Carrier,7.17,21.81,10.1,8,70871.5,0.94,0.68
Bulk Carrier,7.2,16.49,7.42,7,39753.0,0.98,0.7
Bulk Carrier,7.21,20.74,5.1,7,56075.29,0.98,0.71
Bulk Carrier,7.25,18.66,8.26,9,58549.33,0.97,0.7
Bulk Carrier,7.29,19.39,8.77,14,68076.42,1.0,0.73
Bulk Carrier,7.3,19.41,9.18,16,60999.91,0.96,0.7
Bulk Carrier,7.33,18.76,10.18,10,74423.2,0.98,0.72
Bulk Carrier,7.38,22.59,5.99,8,65358.5,1.0,0.74
Bulk Carrier,7.4,20.65,6.47,8,55853.38,1.0,0.74
Bulk Carrier,7.46,20.51,5.79,9,55478.0,1.0,0.75
Bulk Carrier,7.5,20.64,7.49,33,60525.67,0.98,0.74
Bulk Carrier,7.54,19.7,11.29,11,68095.09,0.99,0.74
Bulk Carrier,7.58,21.13,7.22,13,62499.62,0.98,0.74
Bulk Carrier,7.6,17.71,10.09,11,50162.27,0.99,0.75
Bulk Carrier,7.63,22.23,6.29,9,65574.56,1.0,0.76
Bulk Carrier,7.67,22.08,9.96,8,75413.0,0.98,0.75
Bulk Carrier,7.7,19.74,8.76,17,50745.86,0.99,0.76
Bulk Carrier,7.71,22.61,10.2,16,75639.75,0.96,0.74
Bulk Carrier,7.75,20.21,8.82,15,77618.13,0.98,0.76
Bulk Carrier,7.79,24.26,2.86,12,68589.0,1.0,0.78
Bulk Carrier,7.8,22.46,10.13,23,75155.39,0.97,0.76
Bulk Carrier,7.83,17.02,10.1,13,57002.35,0.99,0.77
Bulk Carrier,7.88,15.86,10.07,12,65327.91,0.99,0.78
Bulk Carrier,7.9,18.57,11.62,11,57886.55,0.99,0.78
Bulk Carrier,7.92,21.31,8.43,23,71780.22,1.0,0.79
